Mike	9:42 2/3/2022	121
Jim	9:42 2/3/2022	90
Mike	11:59 2/3/2022	189
a	11:59 2/3/2022	123
a	12:21 2/3/2022	131
Lana	12:21 2/3/2022	108
Tom	12:21 2/3/2022	124
Jim	12:21 2/3/2022	93
Mike	12:21 2/3/2022	95
TomH	12:21 2/3/2022	143
Jim	1:10 2/4/2022	140
Tom	1:10 2/4/2022	131
TomH	1:11 2/4/2022	111
Mike	2:11 2/4/2022	147
Jim	2:11 2/4/2022	158
Mike	2:12 2/4/2022	130
Jim	2:12 2/4/2022	140
Jim	2:13 2/4/2022	134
Lana	2:13 2/4/2022	153
Jim	2:15 2/4/2022	97
Tom	2:15 2/4/2022	141
Mike	11:36 2/4/2022	114
Jim	11:36 2/4/2022	98
Tom	11:36 2/4/2022	131
Lana	11:36 2/4/2022	92
Mike	17:10 2/5/2022	144
Jim	17:10 2/5/2022	164
Tom	17:10 2/5/2022	143
Lana	17:10 2/5/2022	129
Mike	6:52 2/6/2022	115
Jim	6:52 2/6/2022	132
Mike	7:12 2/6/2022	130
Jim	7:12 2/6/2022	127
Jim	7:14 2/6/2022	137
Lana	7:14 2/6/2022	149
Mike	7:15 2/6/2022	144
Jim	7:15 2/6/2022	164
Jim	7:18 2/6/2022	149
Lana	7:18 2/6/2022	124
Jim	7:19 2/6/2022	102
Tom	7:19 2/6/2022	149
a	7:22 2/6/2022	136
Lana	7:22 2/6/2022	105
Tom	7:24 2/6/2022	111
TomH	7:24 2/6/2022	112
Jim	10:45 2/6/2022	122
Tom	10:46 2/6/2022	131
Mike	10:47 2/6/2022	122
Jim	10:47 2/6/2022	131
Mike	10:49 2/6/2022	124
Jim	10:49 2/6/2022	141
Mike	11:38 2/6/2022	145
Jim	11:38 2/6/2022	146
Jim	11:54 2/6/2022	112
Tom	11:54 2/6/2022	124
Jim	12:2 2/6/2022	144
Tom	12:2 2/6/2022	126
Tom	12:4 2/6/2022	127
Lana	12:4 2/6/2022	117
TomH	12:33 2/6/2022	131
Lana	12:33 2/6/2022	97
Mike	12:54 2/6/2022	144
Jim	12:54 2/6/2022	105
Jim	13:15 2/6/2022	117
Lana	13:15 2/6/2022	119
Jim	13:22 2/6/2022	138
Tom	13:22 2/6/2022	113
Mike	13:23 2/6/2022	141
Lana	13:23 2/6/2022	107
Tom	13:23 2/6/2022	109
Lana	13:23 2/6/2022	121
Tom	13:29 2/6/2022	99
Lana	13:30 2/6/2022	137
Mike	13:31 2/6/2022	144
Jim	13:31 2/6/2022	132
Mike	13:33 2/6/2022	111
Lana	13:33 2/6/2022	183
Jim	13:35 2/6/2022	129
Lana	13:35 2/6/2022	147
Mike	13:37 2/6/2022	174
Tom	13:37 2/6/2022	175
Mike	13:38 2/6/2022	116
Tom	13:38 2/6/2022	105
Mike	13:39 2/6/2022	105
Tom	13:39 2/6/2022	162
Mike	13:44 2/6/2022	140
Tom	13:44 2/6/2022	80
Mike	13:45 2/6/2022	106
Tom	13:45 2/6/2022	168
Mike	13:57 2/6/2022	108
Jim	13:57 2/6/2022	118
Mike	14:6 2/6/2022	129
Tom	14:6 2/6/2022	164
Tom	14:8 2/6/2022	124
TomH	14:8 2/6/2022	157
Mike	14:9 2/6/2022	139
Jim	14:9 2/6/2022	140
Jim	14:13 2/6/2022	136
Lana	14:13 2/6/2022	107
Jim	14:15 2/6/2022	164
Tom	14:15 2/6/2022	140
Mike	14:17 2/6/2022	83
Tom	14:17 2/6/2022	169
Jim	14:19 2/6/2022	143
Tom	14:19 2/6/2022	136
Tom	14:21 2/6/2022	193
